"RiskPercent","WinRate","RewardRiskRatio","EndBalance"
0.013,33,9,1955818.53238239
0.01,36,10,1951851.02901216
0.02,35,6,1943969.33699829
0.009,39,10,1943962.55093224
0.016,28,9,1942479.38937121
0.027,30,6,1941046.68792335
0.03,29,6,1940203.05848513
0.029,29,6,1937647.46429492
0.015,37,7,1935749.31545638
0.011,34,10,1929604.80378191
0.014,31,9,1929529.19447352
0.027,26,7,1927047.03905742
0.023,23,9,1915770.60805453
0.013,36,8,1912376.42832814
0.024,25,8,1910327.73248689
0.018,29,8,1904278.90472864
0.024,37,5,1893456.45393045
0.018,24,10,1891735.83533705
0.017,39,6,1891724.49662642
0.015,29,9,1886344.49047627
0.019,23,10,1884271.17363912
0.021,22,10,1878643.72022222
0.02,23,10,1876817.90933955
0.021,27,8,1867649.46413301
0.03,40,4,1866003.26555192
0.01,39,9,1864131.1227249
0.011,36,9,1861875.1910172
0.022,34,6,1855097.88425441
0.014,28,10,1854056.81977626
0.027,35,5,1853427.77704871
0.029,34,5,1850879.56424903
0.01,35,10,1841359.91947693
0.025,24,8,1836974.62940993
0.03,25,7,1836107.85801053
0.016,40,6,1832578.49650234
0.021,24,9,1832514.52239826
0.02,30,7,1827725.70859752
0.017,25,10,1821319.02653951
0.023,25,8,1812809.85957697
0.017,30,8,1810705.23388119
0.026,31,6,1807106.30898013
0.027,23,8,1804867.70100444
0.022,33,6,1804408.24262125
0.018,32,7,1799809.57299178
0.013,29,10,1797165.35021572
0.029,28,6,1793897.1813901
0.017,38,6,1790996.36467232
0.029,22,8,1790894.2931185
0.026,35,5,1790161.14557591
0.03,26,7,1784028.33980422
0.025,36,5,1782314.78060672
0.017,24,10,1780934.31988007
0.03,28,6,1780255.92481412
0.019,25,9,1778737.83566311
0.026,26,7,1778349.18057762
0.022,39,5,1778231.07526058
0.022,29,7,1777028.97248644
0.015,38,7,1775591.03827199
0.028,34,5,1772243.11860206
0.009,38,10,1766035.68825109
0.012,34,9,1765068.29414163
0.029,40,4,1762856.3361731
0.014,34,8,1760092.06638302
0.029,18,10,1756589.39223187
0.021,40,5,1754229.6274413
0.026,23,8,1751876.42007062
0.027,34,5,1751315.75640096
0.023,38,5,1750875.97726535
0.029,19,9,1747900.07575689
0.018,37,6,1745701.61616272
0.011,40,8,1741664.20066623
0.021,34,6,1740848.69434058
0.021,30,7,1739213.69332708
0.01,38,9,1738152.97633924
0.018,33,7,1731212.17732858
0.012,38,8,1729447.68778392
0.019,36,6,1728180.13989211
0.03,33,5,1728158.41348312
0.021,39,5,1723569.11064766
0.012,37,8,1718281.77198936
0.015,36,7,1716948.27455286
0.018,26,9,1709351.6713123
0.02,27,8,1705793.52749998
0.013,35,8,1705296.17530076
0.017,29,8,1700672.38135493
0.022,38,5,1700221.98889979
0.015,32,8,1696435.2864125
0.022,21,10,1695901.72935053
0.017,34,7,1690664.90065805
0.016,31,8,1689189.04606557
0.014,38,7,1687996.50348253
0.016,35,7,1682237.13381746
0.023,37,5,1679901.64963541
0.011,35,9,1673523.13130598
0.024,36,5,1661011.60414475
0.021,21,10,1658523.59128215
0.012,31,10,1657547.60712057
0.016,25,10,1653535.9200203
0.014,27,10,1651937.44838125
0.028,39,4,1651476.60053366
0.028,33,5,1646031.7603798
0.012,33,9,1644478.54889726
0.026,30,6,1644026.29593701
0.021,38,5,1638888.64664006
0.02,40,5,1631171.75011303
0.023,28,7,1624047.09220226
0.03,20,9,1620971.85207548
0.017,33,7,1620902.94601805
0.023,20,10,1611548.03095121
0.016,34,7,1608570.70274731
0.02,22,10,1605633.09756841
0.01,33,10,1604907.65423734
0.02,34,6,1602601.8311613
0.027,29,6,1600918.19879993
0.015,28,9,1597181.69128343
0.014,30,9,1595173.59251717
0.022,23,9,1588206.34084084
0.015,26,10,1578347.61265973
0.029,39,4,1574416.25076253
0.012,30,10,1572344.24258737
0.013,32,9,1568192.40496774
0.026,24,8,1565913.75199483
0.023,32,6,1565236.91656559
0.026,21,9,1564420.39891081
0.021,33,6,1561504.54696205
0.013,39,7,1561289.33016944
0.022,32,6,1558950.88671755
0.022,25,8,1557942.30847016
0.018,36,6,1552752.61869487
0.019,22,10,1551678.23065934
0.025,27,7,1551422.95971211
0.024,27,7,1551196.03956019
0.028,20,9,1549017.68699929
0.03,39,4,1547101.45991857
0.017,27,9,1547054.62753675
0.028,40,4,1546350.14778422
0.016,27,9,1535591.38583098
0.019,35,6,1535344.97346473
0.02,24,9,1533315.3429405
0.024,31,6,1531810.6582266
0.018,25,9,1531722.82079938
0.009,37,10,1528452.54289352
0.008,40,10,1525426.69639075
0.013,38,7,1524400.61981218
0.016,39,6,1523481.01930652
0.01,34,10,1522402.93157
0.011,32,10,1522376.38364263
0.019,30,7,1519590.94801424
0.028,28,6,1519527.81169569
0.022,20,10,1517409.54873313
0.026,19,10,1516154.39018781
0.03,21,8,1514316.81109337
0.024,23,8,1513145.37676056
0.026,34,5,1512725.77303968
0.013,40,7,1511775.12432442
0.024,19,10,1511654.0751699
0.014,33,8,1511315.95820973
0.012,36,8,1511131.58620888
0.02,29,7,1506197.79824682
0.015,31,8,1504472.27158012
0.016,30,8,1503316.73097708
0.013,31,9,1502373.08106699
0.028,25,7,1499360.07721615
0.025,29,6,1494588.19590465
0.025,30,6,1494588.19590464
0.029,33,5,1494460.0514118
0.021,29,7,1490289.4843897
0.017,37,6,1489440.32637217
0.024,24,8,1487244.39980514
0.021,26,8,1486104.94300381
0.029,21,8,1484362.72573586
0.018,22,10,1483125.76993498
0.014,29,9,1481157.80467341
0.022,37,5,1478311.18005824
0.027,24,7,1477754.52562657
0.01,37,9,1476815.67952561
0.027,25,7,1474568.59725584
0.015,35,7,1474349.66410427
0.015,40,6,1471499.44739671
0.027,40,4,1470230.02796244
0.014,37,7,1469203.79116411
0.013,34,8,1468214.29675286
0.018,28,8,1464960.94737718
0.011,34,9,1463440.35635069
0.03,27,6,1461560.93566194
0.03,38,4,1461420.31623983
0.018,27,8,1460225.13259614
0.021,23,9,1457876.77036155
0.026,18,10,1456714.98065099
0.023,31,6,1453565.84498728
0.025,35,5,1453558.76303182
0.011,38,8,1451723.08157485
0.014,32,8,1451620.48547052
0.022,28,7,1451614.37176661
0.027,18,10,1450870.21571358
0.025,21,9,1450531.75904561
0.016,38,6,1448629.60194113
